Part;Global theme;Theme;Question;link
3;Home & Hometown;Social problems;"What social problems are there in your country?
What about poverty? What can be done to alleviate poverty?
Are there many charities in your country?
Let’s move on to talk about the overpopulation problem. Why do so many people move to live in cities?
What problems does overpopulation cause?
Finally, let’s talk about crime. What is the difference between major and minor crime?
Do you think all criminals should go to prison?";https://www.bestmytest.com/ielts/speaking
3;Home & Hometown;Urban planning;"How important is urban planning for a city?
What are the possible drawbacks of not having a good plan?
How do cities in your country differ?
What effect do businesses have on urban planning?
How can people make their voices heard when it comes to urban planning?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Home & Hometown;Neighbourhood;"Do you like the neighbourhood you live in now?
How could you improve your neighbourhood? 
Do you prefer to live in a mostly residential area or an area with homes and commerce? 
How do you think your neighbourhood will change in the future? 
Is it common for people to live in the same neighbourhood their whole lives in your country?";https://www.professoremanuelcosta.com/ielts-speaking-part-3
3;Home & Hometown;Housework;"Who does the housework in your home? 
What are the benefits of having a tidy house?  
Are there any chores that you enjoy doing? 
Do you think it's important to give children chores? 
Do you think mundane household chores will ever be done my machines? ";https://www.professoremanuelcosta.com/ielts-speaking-part-3
3;Places;City;"In your opinion, what makes a city a good one to live in?
What are the advantages of living in a city?
Let’s move on from the positive aspects of cities to the negative aspects of cites. In your opinion, what are the negative aspects of crowded cities?
How can governments improve living standards in crowded cities?
What about air quality? What can people do to improve the air quality in the city?";https://www.bestmytest.com/ielts/speaking
3;Places;Historic place;"How do people in your country feel about protecting historic buildings?
Do you think an area can benefit from having an interesting historic place locally? In what way?
What do you think will happen to historic places or buildings in the future? Why?
How were you taught history when you were at school?
Are there other ways people can learn about history, apart from at school? How?
Do you think history will still be a school subject in the future? Why?";https://www.ielts-mentor.com/speaking-sample/speaking-part-3
3;Places;Restaurants;"Do many people eat in restaurants in your country?
Why do some people enjoy eating out?
Is it expensive to eat out in your country?
Let’s move on from eating in restaurants to cooking at home. Do you like to cook at home?
Nowadays, more and more people are unwilling to cook. Why is this happening?
What’s the difference between restaurant food and home-cooked food?";https://www.bestmytest.com/ielts/speaking
3;Places;A crowded place;"Are you comfortable being in crowded places?
What are some crowded places in your city that you avoid going to?
Do you think crowded places are becoming more common in modern society? Why or why not?
What are some potential dangers of being in crowded places?
What measures do you think can be taken to make crowded places safer and more comfortable for people?
Do you think cities should limit the number of people who can visit popular tourist attractions or shopping areas to avoid overcrowding? Why or why not?";https://markteacher.com/part-2-3-a-crowded-place-may-dec-2023/
3;Nature, Animals & The Environment;Environment;"What are some of the main environmental problems in your county?
Why should people be concerned about the environment?
How can people protect the environment?
Do you think money should be spent on protecting animals?
Do you think more should be done to protect natural scenic spots in your country?
Let’s move on to water pollution. Is water pollution a problem in your country?
What can individuals do to try and ensure water is kept clean?
Do you think problems with the cleanliness of water will improve in the future?";https://www.bestmytest.com/ielts/speaking
3;Nature, Animals & The Environment;People impact on environment;"Why do people throw rubbish the streets?
How can people be encouraged to not litter?
What are the results of littering?
What steps has your government taken to make people pick up after themselves?
Do the efforts of a single person have an impact on the world as a whole?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Nature, Animals & The Environment;Gardens;"Do people in your country usually have gardens in their homes?
Which age group visits gardens the most?
Is it good for people to take care of a garden?
Why do people grow their own plants at home sometimes?
Is it common for people in your country to grow fruits and vegetables at home?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Nature, Animals & The Environment;Individuals and the Ebironment;"What are the main environmental problems we face today?
What can individuals do to protect the environment?
How much do politicians in your country care about the environment?
Should nations work together to protect the environment?
What are the roadblocks to this?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Nature, Animals & The Environment;Space exploration;"Does your country have a space program? 
Do you think it is likely that in the future we will have space tourism open to the general public? Why?
How about colonising another planet. Do you believe humans need to find another planet to live on? Why? 
If you had the chance would you like to go up into space? Why?";https://www.professoremanuelcosta.com/ielts-speaking-part-3
3;Travel & Transport;Transportation;"Have the types of transportation people use changed much over the last few decades?
How has transportation improved in recent years?
Do you think transportation is likely to continue to improve in the future?
What is your take on introducing transportation passes?
Let’s move on to the transportation system in your country. It is faster to travel by public transportation or by car in your country?
What are the impacts of Uber on transportation in your country?";https://www.bestmytest.com/ielts/speaking
3;Travel & Transport;Travel;"Why do some people prefer to travel abroad rather than travel in their own country?
Do you think traveling to another country can change the way that people think?
Do you think it’s safer to travel today than in the past?
Let’s move on to tourism. What are some famous tourist spots in your country?
What are the positive impacts of tourism in your country?
What are the negative impacts of tourism in your country?
What can you say about the future of the tourism industry in your country?";https://www.bestmytest.com/ielts/speaking
3;Travel & Transport;travel in your country;"How easy is it to travel around your country?
Which method of travel do you consider the safest? Why?
Has travel become safer in recent years than that was in the past?
What are the pros and cons of low-cost air travel?
How do you think people will travel in the future?
Should the government in a country focus more on rail transports or road transports? Why?";https://www.ielts-mentor.com/speaking-sample/speaking-part-3
3;Travel & Transport;Public transportation;"Do old or young people use public transportation more?
What are the drawbacks of private vehicles?
How could public transportation be improved?
Should city planners consider public transport when designing cities?
What can the government do to improve public transport outside of urban areas?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions-2020-part-3
3;Family, friends & Other people;Family;"Is family important in your country?
Who should be responsible to care for the elderly? Should it be the family or the government?
How has the size of the average family changed in your country in the last few decades?
How do you think families will change in the future?
Let’s move on to the roles of different family members. Should husbands and wives have different roles within the family?
What role do grandparents play in the family in your country?";https://www.bestmytest.com/ielts/speaking
3;Family, friends & Other people;Rules;"Why do we have rules in society?
Do you think it's necessary to set up rules about overworking people?
What are some examples of rules that exist in many families?
What are some rules that exist in schools or workplaces in your country?
Do you think that the students themselves should have a say in what kinds of school rules there are?";https://www.bestmytest.com/ielts/speaking
3;Family, friends & Other people;Parenting;"For parents, what is important when bringing up their children?
Do you think mothers and fathers have different roles to play in bringing up a child?
Let’s move on to education of children. Do you think hitting children is sometimes necessary for discipline?
Do you think sweets are a good thing to reward children with?
Do you think parents spend too much on buying toys for their children?";https://www.bestmytest.com/ielts/speaking
3;Family, friends & Other people;Friends;"What is the importance of friends?
Would you like to have a few very good friends or a lot of just friends?
If you had a problem, would you go to your friends or family? Why?
Do you think it is always better to talk to your friends about such a problem?
Is it important to have friends from other countries?";https://www.bestmytest.com/ielts/speaking
3;Family, friends & Other people;Help;"Do you like helping others?
Do you think people are less willing to help others these days compared to the past?
Do people today trust others as much as they used to in the past?
How do people in your community help each other?
Let’s move on to the topic of educating children to help people. In your view, should children be taught to help others?
In your opinion, how can we encourage children to help others?
What about students? How can students, such as high-school students, help each other?";https://www.bestmytest.com/ielts/speaking
3;Scools & Studies;History;"Do you think history is important?
Do you like to learn about history?
What do you think we can learn by studying history?
Let’s move on to different ways of learning about history. In your opinion, how can people learn about history?
Do you think people can learn history from films or TV programs?
Do you think the internet is a good place to learn about history?
What is the effect of technology on how people learn about history?";https://www.bestmytest.com/ielts/speaking
3;Scools & Studies;School;"Is higher education too expensive in your country?
Should all students pay for their university education?
Can you compare the education your parents had with the education that you received?
What changes do you think will happen in the classrooms of the near future?
Let’s move on to university education. What advantages do universities bring to society?
Which is more important, research or teaching?
What makes a good university student?";https://www.bestmytest.com/ielts/speaking
3;Scools & Studies;Science;"Do you think science is important?
Do you think science can change our society?
Which area of science has been the most important in the last one hundred years?
Let’s move on to talk about inventions. What do you think have been some of the most important inventions in the past 100 years or so?
Why do you think some inventions have not been successful in the marketplace?
Do you think it's good that new inventions are appearing so often?
Do you think there will be any negative effects resulting from future technology?";https://www.bestmytest.com/ielts/speaking
3;Scools & Studies;Teacher;"How well-respected are teachers in your society?
Do you think teachers get paid enough money in your country?
What role should the teacher have in the classroom?
In your opinion, what are the most important qualities for a good teacher to have?
Let’s move on to teaching aspects. In your opinion, how can a teacher make lessons for children more interesting?
Do you think computers will one day replace teachers in the classroom?";https://www.bestmytest.com/ielts/speaking
3;Free time, hobbies & Skills;Art;"How do people in your country feel about art?
Do people in your country prefer music over art?
What are some traditional art forms in your country?
How has art changed in the past few decades in your country?
Let’s move on from art in your country to art education. Do you think children should study art in school?
How can children benefit from learning about art?
Do you think the government should provide support for art and cultural activities?";https://www.bestmytest.com/ielts/speaking
3;Free time, hobbies & Skills;Books;"Do people read more nowadays?
Do you read before going to bed?
In your opinion, how will e-books affect paper books?
What's the difference between films and books?
Let’s move on to the topic of traditional literature in your country.  What is one example of traditional literature in your country?
Do you like reading the traditional literature of your country?";https://www.bestmytest.com/ielts/speaking
